EVENT_ID,EVENT_TITLE,EVENT_STR_DT,EVENT_END_DT,MAP_X,MAP_Y,ADDRESS,CATEGORY,CODE_SQL
506523,무주반딧불축제,20230902,20230910,127.6615222,36.00266855,전라북도 무주군 한풍루로 326-14 등나무운동장,A02070100,233
506516,대구약령시한방문화축제,20230505,20230507,128.5923964,35.86732301,대구광역시 중구 남성로 51-1,A02070100,82
506480,담양대나무축제,20230503,20230507,126.9863665,35.32501424,전라남도 담양군 담양읍 죽녹원로 119,A02070100,249
506473,춘향제,20230525,20230529,127.3799714,35.40215395,전라북도 남원시 요천로 1447 광한루,A02070100,232
506470,김해분청도자기 축제,20221021,20221030,128.7458665,35.25150636,경상남도 김해시 진례면 진례로 275-35,A02070100,212
506465,금산세계인삼축제,20231006,20231015,127.5012172,36.10021015,충청남도 금산군 금산읍 인삼광장로 30,A02070100,172
506398,구례산수유꽃축제,20230311,20230319,127.4703072,35.31965095,전라남도 구례군 상관1길 45,A02070200,247
506378,강진청자축제,20230223,20230301,126.8009781,34.50788091,전라남도 강진군 청자촌길 33 청자사업소,A02070100,243
506376,논산 강경젓갈축제,20221012,20221016,127.0148146,36.1572451,충청남도 논산시 강경읍 대흥리,A02070100,173
506295,문경찻사발축제,20230429,20230507,128.0770114,36.76165049,경상북도 문경시 새재로 932,A02070100,192
482133,휴애리 매화축제,20230224,20230313,126.6344317,33.30851715,제주특별자치도 서귀포시 남원읍 신례동로 256,A02070200,267
421977,고성통일명태축제,20221020,20221023,128.4541909,38.43980232,강원도 고성군 거진읍 해오름해변길 125,A02070200,142
409187,홍성남당항새조개축제,20230114,20230131,126.4703451,36.53948076,온라인개최,A02070200,184
406745,난타 (명동),20221201,20240229,126.9837456,37.56344637,서울특별시 중구 명동길 26,A02080300,58
406696,성남아트센터 마티네콘서트,20220317,20221215,127.1292175,37.40195661,경기도 성남시 분당구 성남대로 808,A02080900,121
391883,대관령눈꽃축제,20230120,20230129,128.7110498,37.67260201,강원도 평창군 대관령로 135-9,A02070200,155
235076,부산불꽃축제,20221217,20221217,129.1184922,35.15379084,부산광역시 수영구 광안해변로 219,A02070200,99
234232,사천에어쇼,20221020,20221023,128.0851868,35.09496483,경상남도 사천시 사천읍 사천대로 1971,A02070200,216
234235,단양 온달문화축제,20221007,20221009,128.4908434,37.06178765,충청북도 단양군 영춘면 온달로 23,A02070200,160
232325,횡성한우축제,20231006,20231010,127.987712,37.49585593,강원도 횡성군 문화체육로 47 종합운동장,A02070100,158
229057,서울와우북페스티벌,20221001,20221009,126.9167299,37.55085496,서울특별시 마포구 양화로 72 서교동 효성 해링턴 타워,A02070200,47
229048,동래읍성 역사축제,20221014,20221016,129.0901348,35.21214211,부산광역시 동래구 문화로 80,A02070100,93
229052,양양 연어축제,20221028,20221030,128.6191707,38.07554796,강원도 양양군 양양읍 남문리 226-2번지,A02070200,147
229054,지상군 페스티벌,20231006,20231010,127.2371047,36.306818,충청남도 계룡시 신도안면 정장리,A02070200,185
142233,정동문화축제,20221020,20221022,126.9692552,37.56807057,서울특별시 중구 정동길 2,A02070200,58
142228,태백 해바라기축제,20220722,20220815,128.9896,37.20694995,강원도 태백시 구와우길 38-20,A02070200,154
142204,코리아드라마페스티벌,20221008,20221103,128.0917643,35.1873129,경상남도 진주시 강남로 215,A02070200,220
142191,영동포도축제,20230824,20230827,127.7865319,36.15639773,충청북도 영동군 영동힐링로 117,A02070200,162
142193,서울프린지페스티벌,20220811,20220828,126.8929203,37.57312972,서울특별시 마포구 증산로 87,A02070200,47
142197,시흥갯골축제,20230922,20230924,126.7812551,37.38982403,경기도 시흥시 동서로 287 갯골생태공원,A02070100,123
142186,생거진천 농다리축제,20230526,20230528,127.4398938,36.85007317,충청북도 진천군 문화로 79 진천문화원,A02070200,166
142099,제19회 부산국제무용제,20230602,20230604,129.1610911,35.16008537,부산광역시 해운대구 해운대해변로265번길 6 해운대우체국및연수원,A02080800,103
142086,제26회 부천국제판타스틱영화제,20220707,20220717,126.7660144,37.50364387,경기도 부천시 길주로 210,A02081100,120
142080,부산바다축제,20220730,20220807,129.0604519,35.18899693,부산광역시 연제구 월드컵대로 344 부산아시아드주경기장,A02070200,100
142069,거창국제연극제,20220722,20220805,127.8319275,35.76184339,경상남도 거창군 위천면 은하리길 98-11,A02080200,210
142064,봉화은어축제,20230730,20230807,128.7368265,36.8885483,경상북도 봉화군 봉화읍 내성리,A02070100,193
142033,서울 아시테지 겨울축제,20221228,20230108,127.0038432,37.58323054,서울특별시 종로구 동숭길 114,A02070200,57
142001,캐릭터 라이선싱 페어 2022,20220714,20220717,127.0591874,37.51175928,서울특별시 강남구 영동대로 513,A02080500,35
141984,예천세계곤충엑스포,20220806,20220815,128.4634854,36.65833617,경상북도 예천군 예천읍 충효로 395,A02070200,201
141963,대구국제뮤지컬페스티벌,20220624,20220711,128.592257,35.88350729,대구광역시 북구 호암로 15 대구오페라하우스,A02080300,79
228985,2023 서울국제도서전,20230614,20230618,127.059443,37.51171485,"서울특별시 강남구  영동대로 (513, 코엑스)",A02080500,35
141918,대전사이언스페스티벌,20221020,20221023,127.3893059,36.37518231,대전광역시 유성구 엑스포로 87,A02070100,73
141863,제43회 서울연극제,20220428,20220529,127.0031961,37.5821501,서울특별시 종로구 대학로10길 17 동숭동복합건물,A02080200,57
141865,의정부 음악극축제,20220610,20220618,127.0340501,37.73343305,경기도 의정부시 의정로 1,A02081300,134
141844,제39회 부산국제단편영화제,20230425,20230501,129.1269827,35.17130848,부산광역시 해운대구 수영강변대로 120,A02081100,103
141799,고양국제꽃박람회,20230427,20230508,126.7686849,37.65397366,경기도 고양시 일산동구 호수로 595,A02070200,111
141759,종묘대제,20220501,20220501,126.9944471,37.57428974,서울특별시 종로구 종로 157,A02070200,57
141736,서귀포유채꽃축제,20230331,20230402,126.7356685,33.38347715,제주특별자치도 서귀포시 녹산로 381-17,A02070200,267
